qid,label,class_label,class_qid
Q15777,Q15777,programming language,Q9143
Q59,PHP,programming language,Q9143
Q2005,Q2005,programming language,Q9143
Q28865,Python,programming language,Q9143
Q251,Java,programming language,Q9143
Q2407,Q2407,programming language,Q9143
Q2370,Q2370,programming language,Q9143
Q47607,Q47607,programming language,Q9143
Q81571,Q81571,programming language,Q9143
Q2115,XML,programming language,Q9143
Q161053,Q161053,programming language,Q9143
Q42979,Q42979,programming language,Q9143
Q2378,Visual Basic,programming language,Q9143
Q83303,Fortran,programming language,Q9143
Q169478,MATLAB,programming language,Q9143
Q132874,Lisp,programming language,Q9143
Q131140,Q131140,programming language,Q9143
Q206904,R,programming language,Q9143
Q154755,Q154755,programming language,Q9143
Q134471,AJAX,programming language,Q9143
Q34010,Q34010,programming language,Q9143
Q163468,Prolog,programming language,Q9143
Q275131,Scratch,programming language,Q9143
Q3816639,Q3816639,programming language,Q9143
Q575650,Q575650,programming language,Q9143
Q17118377,Q17118377,programming language,Q9143
Q50077,Visual Basic,programming language,Q9143
Q234657,ActionScript,programming language,Q9143
Q188436,ALGOL,programming language,Q9143
Q187560,Q187560,programming language,Q9143
Q213970,Q213970,programming language,Q9143
Q188531,Objective-C,programming language,Q9143
Q244627,Brainfuck,programming language,Q9143
Q235086,Smalltalk,programming language,Q9143
Q201436,Logo,programming language,Q9143
Q460584,Q460584,programming language,Q9143
Q296187,APL,programming language,Q9143
Q319268,D,programming language,Q9143
Q81294,Mathematica,programming language,Q9143
Q5288,Tcl,programming language,Q9143
Q32110,XSLT,programming language,Q9143
Q218170,Q218170,programming language,Q9143
Q978185,TypeScript,programming language,Q9143
Q840410,Q840410,programming language,Q9143
Q13743,Visual Basic Script,programming language,Q9143
Q51798,Clojure,programming language,Q9143
Q212587,OCaml,programming language,Q9143
Q406009,Dart,programming language,Q9143
Q732089,Q732089,programming language,Q9143
Q275472,Forth,programming language,Q9143
Q334879,Q334879,programming language,Q9143
Q223433,PL/I,programming language,Q9143
Q504453,Apache Groovy,programming language,Q9143
Q380523,ABAP,programming language,Q9143
Q305876,Q305876,programming language,Q9143
Q849146,Common Lisp,programming language,Q9143
Q648124,Gambas,programming language,Q9143
Q797302,B,programming language,Q9143
Q139380,Maple,programming language,Q9143
Q212569,Simula,programming language,Q9143
Q648619,F#,programming language,Q9143
Q473201,Turbo Pascal,programming language,Q9143
Q2613697,Julia,programming language,Q9143
Q300867,make,programming language,Q9143
Q1057802,ABC,programming language,Q9143
Q633894,Object Pascal,programming language,Q9143
Q810009,BCPL,programming language,Q9143
Q1053535,Processing,programming language,Q9143
Q381247,QBasic,programming language,Q9143
Q685820,REXX,programming language,Q9143
Q850661,XQuery,programming language,Q9143
Q784845,AutoIt,programming language,Q9143
Q385970,Apache Ant,programming language,Q9143
Q5362035,Elixir,programming language,Q9143
Q860654,ML,programming language,Q9143
Q20155677,WebAssembly,programming language,Q9143
Q195929,FreeBASIC,programming language,Q9143
Q129137,AppleScript,programming language,Q9143
Q1138939,Vala,programming language,Q9143
Q844595,Bourne shell,programming language,Q9143
Q51885456,Zig,programming language,Q9143
Q777358,Modula-2,programming language,Q9143
Q753868,Visual FoxPro,programming language,Q9143
Q606550,Simulink,programming language,Q9143
Q784816,AutoHotkey,programming language,Q9143
Q258778,Extensible Application Markup Language,programming language,Q9143
Q1054365,INTERCAL,programming language,Q9143
Q892948,Boo,programming language,Q9143
Q597330,Standard ML,programming language,Q9143
Q34280,Plankalkül,programming language,Q9143
Q1106819,CoffeeScript,programming language,Q9143
Q840543,RPG,programming language,Q9143
Q1064516,C shell,programming language,Q9143
Q277710,A+,programming language,Q9143
Q517956,Malbolge,programming language,Q9143
Q836102,SCUMM,programming language,Q9143
Q1072180,Synchronized Multimedia Integration Language,programming language,Q9143
Q513238,LOLCODE,programming language,Q9143
Q1323362,Oberon,programming language,Q9143
Q378222,Whitespace,programming language,Q9143
Q1359171,REBOL,programming language,Q9143
Q1268744,Dylan,programming language,Q9143
Q775159,CLU,programming language,Q9143
Q762464,Squeak,programming language,Q9143
Q204222,KornShell,programming language,Q9143
Q845753,Printer Command Language,programming language,Q9143
Q780803,Miranda,programming language,Q9143
Q779819,OpenGL Shading Language,programming language,Q9143
Q838062,occam,programming language,Q9143
Q814269,Befunge,programming language,Q9143
Q1401466,Q1401466,programming language,Q9143
Q2347334,CPL,programming language,Q9143
Q1208217,Oz,programming language,Q9143
Q1411939,Server Side Includes,programming language,Q9143
Q787631,Business Process Execution Language,programming language,Q9143
Q1254148,Racket,programming language,Q9143
Q2299598,SuperCollider,programming language,Q9143
Q5366250,Elm,programming language,Q9143
Q1457000,Q1457000,programming language,Q9143
Q1334586,Emacs Lisp,programming language,Q9143
Q93482,Ceylon,programming language,Q9143
Q2428476,Modula,programming language,Q9143
Q113157814,Carbon,programming language,Q9143
Q1002996,Snap!,programming language,Q9143
Q20080327,Nim,programming language,Q9143
Q15241057,Wolfram Language,programming language,Q9143
Q559519,High Level Shader Language,programming language,Q9143
Q143419,Blitz BASIC,programming language,Q9143
Q383994,J,programming language,Q9143
Q1118153,Caml,programming language,Q9143
Q206040,Mercury,programming language,Q9143
Q961543,QML,programming language,Q9143
Q1886145,Piet,programming language,Q9143
Q1864529,Self,programming language,Q9143
Q165372,CLIPS,programming language,Q9143
Q1374139,Euphoria,programming language,Q9143
Q1283865,S,programming language,Q9143
Q385325,Modelica,programming language,Q9143
Q1131652,Rocq prover,programming language,Q9143
Q1024657,Cg,programming language,Q9143
Q259347,Csound,programming language,Q9143
Q21921428,Crystal,programming language,Q9143
Q1882071,MUMPS,programming language,Q9143
Q1665857,Interactive Data Language,programming language,Q9143
Q830842,BETA,programming language,Q9143
Q1277803,JOVIAL,programming language,Q9143
Q377986,Clean,programming language,Q9143
Q1172264,Datalog,programming language,Q9143
Q1144631,Curl,programming language,Q9143
Q2368856,Curry,programming language,Q9143
Q118152673,Mojo,programming language,Q9143
Q2160963,PL/M,programming language,Q9143
Q45322975,Q#,programming language,Q9143
Q18215985,ScratchJr,programming language,Q9143
