qid,label,class_label,class_qid
Q161376,Miss Universe,contest,Q476300
Q15669738,Miss Grand International,contest,Q476300
Q1353202,Wiki Loves Monuments,contest,Q476300
Q833633,Pulitzer Prize for Fiction,contest,Q476300
Q430295,Hungary in the Eurovision Song Contest,contest,Q476300
Q505654,International Physics Olympiad,contest,Q476300
Q576434,Prix de Rome,contest,Q476300
Q107574777,2025 UEFA Champions League Final,contest,Q476300
Q728711,Playboy Playmate,contest,Q476300
Q16695775,Wiki Loves Earth,contest,Q476300
Q55436055,2019 Cannes Film Festival,contest,Q476300
Q1161526,Wet T-shirt contest,contest,Q476300
Q24204092,2017 Cannes Film Festival,contest,Q476300
Q749700,Google Lunar X Prize,contest,Q476300
Q4580425,Wiki Loves Monuments,contest,Q476300
Q126101704,2025 Cannes Film Festival,contest,Q476300
Q18348657,2015 Cannes Film Festival,contest,Q476300
Q289214,Pulitzer Prize for Drama,contest,Q476300
Q107526152,2022 Cannes Film Festival,contest,Q476300
Q100231227,2021 Cannes Film Festival,contest,Q476300
Q43119724,2018 Cannes Film Festival,contest,Q476300
Q15303094,2014 Cannes Film Festival,contest,Q476300
Q785043,1946 Cannes Film Festival,contest,Q476300
Q21061237,2016 Cannes Film Festival,contest,Q476300
Q98382957,2023 UEFA Europa Conference League Final,contest,Q476300
Q2003277,Miss Universe 1952,contest,Q476300
Q756701,Miss Universe 2009,contest,Q476300
Q304736,2009 Cannes Film Festival,contest,Q476300
Q115484744,2023 Cannes Film Festival,contest,Q476300
Q98382950,2022 UEFA Europa Conference League Final,contest,Q476300
Q119141934,2024 Cannes Film Festival,contest,Q476300
Q841363,2012 Cannes Film Festival,contest,Q476300
Q510527,2011 Cannes Film Festival,contest,Q476300
Q107722972,2025 UEFA Europa League Final,contest,Q476300
Q42964984,Miss Universe 2018,contest,Q476300
Q2891443,2013 Cannes Film Festival,contest,Q476300
Q846603,Lebanon in the Eurovision Song Contest,contest,Q476300
Q945315,2006 Cannes Film Festival,contest,Q476300
Q19412,Miss Universe 2013,contest,Q476300
Q15043510,Miss Universe 2014,contest,Q476300
Q2117891,Pulitzer Prize for Poetry,contest,Q476300
Q548316,2005 Cannes Film Festival,contest,Q476300
Q1143088,Miss Universe 2008,contest,Q476300
Q104538915,2021 Copa América Final,contest,Q476300
Q122639671,Miss Universe 2024,contest,Q476300
Q664211,1954 Cannes Film Festival,contest,Q476300
Q1088627,2008 Cannes Film Festival,contest,Q476300
Q1067877,Miss Universe 2012,contest,Q476300
Q1047840,1958 Cannes Film Festival,contest,Q476300
Q1047692,1951 Cannes Film Festival,contest,Q476300
Q1047707,1949 Cannes Film Festival,contest,Q476300
Q645715,1959 Cannes Film Festival,contest,Q476300
Q2598145,Battle of Nuremberg,contest,Q476300
Q1338187,Mathematical Kangaroo,contest,Q476300
Q932457,Miss Universe 2011,contest,Q476300
Q553210,2010 Cannes Film Festival,contest,Q476300
Q925518,1952 Cannes Film Festival,contest,Q476300
Q924797,1947 Cannes Film Festival,contest,Q476300
Q919233,2004 Cannes Film Festival,contest,Q476300
Q1091419,2007 Cannes Film Festival,contest,Q476300
Q107722976,2024 UEFA Europa League Final,contest,Q476300
Q60046763,Miss Universe 2019,contest,Q476300
Q59822473,Miss Universe 2020,contest,Q476300
Q124750517,75th Berlin International Film Festival,contest,Q476300
Q97273515,Miss Universe 2021,contest,Q476300
