qid,label,class_label,class_qid
Q21095748,Wikipedia Asian Month,event,Q1656682
Q1311,winter,event,Q1656682
Q1312,spring,event,Q1656682
Q1313,summer,event,Q1656682
Q1314,autumn,event,Q1656682
Q234915,Hajj,event,Q1656682
Q37922,Nobel Prize in Literature,event,Q1656682
Q124473,Earth Day,event,Q1656682
Q39825,census,event,Q1656682
Q80949,April Fools' Day,event,Q1656682
Q260858,UEFA European Championship,event,Q1656682
Q46525,Pulitzer Prize,event,Q1656682
Q99717,1989 Tiananmen Square protests and massacre,event,Q1656682
Q160082,Booker Prize,event,Q1656682
Q15224558,Euromaidan,event,Q1656682
Q151187,Potsdam Conference,event,Q1656682
Q83145,Africa Cup of Nations,event,Q1656682
Q104705419,January 6 United States Capitol attack,event,Q1656682
Q160145,Earth Hour,event,Q1656682
Q129372,European Capital of Culture,event,Q1656682
Q192341,I Have a Dream,event,Q1656682
Q58715,Great Leap Forward,event,Q1656682
Q150974,Tehran Conference,event,Q1656682
Q58805164,yellow vests movement,event,Q1656682
Q64509602,2019–2020 Hong Kong protests,event,Q1656682
Q51404,Pride parade,event,Q1656682
Q214524,Gettysburg Address,event,Q1656682
Q189327,CONCACAF Gold Cup,event,Q1656682
Q60797,sermon,event,Q1656682
Q137612545,2025–2026 Iranian protests,event,Q1656682
Q47566,United States presidential election,event,Q1656682
Q59919055,Wikipedia Asian Month 2019,event,Q1656682
Q732997,British Academy Film Awards,event,Q1656682
Q9102,Monaco Grand Prix,event,Q1656682
Q640480,Umrah,event,Q1656682
Q187300,Prix Goncourt,event,Q1656682
Q184937,Bilderberg Group,event,Q1656682
Q194285,Nebula Award,event,Q1656682
Q152120,Wannsee Conference,event,Q1656682
Q114065797,Mahsa Amini protests,event,Q1656682
Q207213,Saturnalia,event,Q1656682
Q205751,Venice Biennale,event,Q1656682
Q7885,Bahrain Grand Prix,event,Q1656682
Q7870,Australian Grand Prix,event,Q1656682
Q443,Ich bin ein Berliner,event,Q1656682
Q208191,Asian–African Conference,event,Q1656682
Q9208,Spanish Grand Prix,event,Q1656682
Q1353202,Wiki Loves Monuments,event,Q1656682
Q160211,Schuman Declaration,event,Q1656682
Q76853425,Wikipedia Asian Month 2020,event,Q1656682
Q207601,American Music Awards,event,Q1656682
Q81466,Miguel de Cervantes Prize,event,Q1656682
Q7980,Chinese Grand Prix,event,Q1656682
Q7954,Belgian Grand Prix,event,Q1656682
Q135900831,Wikipedia Asian Month 2025,event,Q1656682
Q95965839,George Floyd protests,event,Q1656682
Q56451290,Wikipedia Asian Month 2018,event,Q1656682
Q468823,March on Rome,event,Q1656682
Q1129327,Music Day,event,Q1656682
Q827695,La Tomatina,event,Q1656682
Q327154,Hans Christian Andersen Award,event,Q1656682
Q9137,Singapore Grand Prix,event,Q1656682
Q8036,Italian Grand Prix,event,Q1656682
Q8032,Indianapolis 500,event,Q1656682
Q7849,Abu Dhabi Grand Prix,event,Q1656682
Q7965,Canadian Grand Prix,event,Q1656682
Q7961,Brazilian Grand Prix,event,Q1656682
Q7876,Austrian Grand Prix,event,Q1656682
Q51067,Lenin Prize,event,Q1656682
Q45774,Liturgy of the Hours,event,Q1656682
Q8082,Malaysian Grand Prix,event,Q1656682
Q8019,British Grand Prix,event,Q1656682
Q8000,Japanese Grand Prix,event,Q1656682
Q7994,European Grand Prix,event,Q1656682
Q9233,Hungarian Grand Prix,event,Q1656682
Q9229,Turkish Grand Prix,event,Q1656682
Q696894,Cairo Conference,event,Q1656682
Q9209,United States Grand Prix,event,Q1656682
Q751149,Earth Summit,event,Q1656682
Q152862,24-day christmas calendar,event,Q1656682
Q152518,Burning Man,event,Q1656682
Q9109,Dutch Grand Prix,event,Q1656682
Q7997,French Grand Prix,event,Q1656682
Q8109,Mexican Grand Prix,event,Q1656682
Q7998,German Grand Prix,event,Q1656682
Q1165372,On the Cult of Personality and Its Consequences,event,Q1656682
Q502093,Casablanca Conference,event,Q1656682
Q622521,National Basketball Association draft,event,Q1656682
Q9122,San Marino Grand Prix,event,Q1656682
Q102439344,Wikipedia Asian Month 2021,event,Q1656682
Q2052291,International Booker Prize,event,Q1656682
Q833633,Pulitzer Prize for Fiction,event,Q1656682
Q2917032,Public Domain Day,event,Q1656682
Q336168,E3,event,Q1656682
Q9117,Portuguese Grand Prix,event,Q1656682
Q18145420,2014 Hong Kong protests,event,Q1656682
Q668984,Google I/O,event,Q1656682
Q657438,Roman triumph,event,Q1656682
Q650197,Lupercalia,event,Q1656682
Q137341,NBA All-Star Game,event,Q1656682
Q8025,Indian Grand Prix,event,Q1656682
Q7993,Korean Grand Prix,event,Q1656682
Q126369888,Wikipedia Asian Month 2024,event,Q1656682
Q116142348,2023 Brazilian Congress attack,event,Q1656682
