qid,label,class_label,class_qid
Q1065,United Nations,organisation,Q43229
Q1859,True Jesus Church,organisation,Q43229
Q7184,NATO,organisation,Q43229
Q8445,marriage,organisation,Q43229
Q180,Wikimedia Foundation,organisation,Q43229
Q95,Google,organisation,Q43229
Q7817,World Health Organization,organisation,Q43229
Q312,Apple Inc.,organisation,Q43229
Q565,Wikimedia Commons,organisation,Q43229
Q7159,African Union,organisation,Q43229
Q2283,Microsoft,organisation,Q43229
Q253414,FIFA,organisation,Q43229
Q2429253,Islamic State,organisation,Q43229
Q7825,World Trade Organization,organisation,Q43229
Q53268,Toyota,organisation,Q43229
Q38799,Hamas,organisation,Q43229
Q34490,Al-Qaeda,organisation,Q43229
Q13371,Harvard University,organisation,Q43229
Q7172,League of Arab States,organisation,Q43229
Q12506,Hagia Sophia,organisation,Q43229
Q34433,University of Oxford,organisation,Q43229
Q907311,Netflix,organisation,Q43229
Q7795,Organization of the Petroleum Exporting Countries,organisation,Q43229
Q8473,military,organisation,Q43229
Q7414,The Walt Disney Company,organisation,Q43229
Q42418,Taliban,organisation,Q43229
Q7178,International Red Cross and Red Crescent Movement,organisation,Q43229
Q7779,Commonwealth of Independent States,organisation,Q43229
Q359,WikiLeaks,organisation,Q43229
Q38076,McDonald's,organisation,Q43229
Q15174,Shenzhen,organisation,Q43229
Q35794,University of Cambridge,organisation,Q43229
Q1422,Juventus FC,organisation,Q43229
Q8093,Nintendo,organisation,Q43229
Q37312,IMDb,organisation,Q43229
Q41053,Hezbollah,organisation,Q43229
Q37470,United Nations Security Council,organisation,Q43229
Q35572,Union of European Football Associations,organisation,Q43229
Q42138,citizenship,organisation,Q43229
Q3884,Amazon,organisation,Q43229
Q36008,Mercedes-Benz,organisation,Q43229
Q35820,Wright brothers,organisation,Q43229
Q38130,League of Nations,organisation,Q43229
Q584601,Baskin-Robbins,organisation,Q43229
Q41644,Warsaw Pact,organisation,Q43229
Q42262,European Space Agency,organisation,Q43229
Q23317,Audi AG,organisation,Q43229
Q37156,IBM,organisation,Q43229
Q41726,freemasonry,organisation,Q43229
Q44294,Q44294,organisation,Q43229
Q193701,SpaceX,organisation,Q43229
Q17427,Chinese Communist Party,organisation,Q43229
Q1418,Nokia,organisation,Q43229
Q19771,G20,organisation,Q43229
Q11148,The Guardian,organisation,Q43229
Q243630,BRICS,organisation,Q43229
Q42970,Amnesty International,organisation,Q43229
Q15028,International Organization for Standardization,organisation,Q43229
Q428858,Al-Masjid Al-Haram,organisation,Q43229
Q40970,International Olympic Committee,organisation,Q43229
Q49112,Yale University,organisation,Q43229
Q478214,"Tesla, Inc.",organisation,Q43229
Q47099,Grupo Televisa,organisation,Q43229
Q43449,Q43449,organisation,Q43229
Q3895,Adidas AG,organisation,Q43229
Q41550,Organization for Economic Cooperation and Development,organisation,Q43229
Q43173,Inquisition,organisation,Q43229
Q12192963,Al-Aqsa Mosque,organisation,Q43229
Q8475,Interpol,organisation,Q43229
Q248,Intel,organisation,Q43229
Q42944,CERN,organisation,Q43229
Q21578,Princeton University,organisation,Q43229
Q47131,Ku Klux Klan,organisation,Q43229
Q27586,Ferrari,organisation,Q43229
Q41420,Borussia Dortmund,organisation,Q43229
Q67,Airbus SAS,organisation,Q43229
Q42814,Euskadi Ta Askatasuna,organisation,Q43229
Q166032,The Washington Post,organisation,Q43229
