qid,label,class_label,class_qid
Q22868,RT,agent,Q24229398
Q159386,Rothschild family,agent,Q24229398
Q259059,household,agent,Q24229398
Q385139,Ahl al-Bayt,agent,Q24229398
Q653277,Partnership for Peace,agent,Q24229398
Q618057,Holy Family,agent,Q24229398
Q184194,Mensa International,agent,Q24229398
Q494354,Karakhanid Khanate,agent,Q24229398
Q835808,Brontë family,agent,Q24229398
Q202886,Mordor,agent,Q24229398
Q375117,China Radio International,agent,Q24229398
Q218728,The Shire,agent,Q24229398
Q213586,Gondor,agent,Q24229398
Q242540,Internet Assigned Numbers Authority,agent,Q24229398
Q46854,Moria,agent,Q24229398
Q1130469,Rockefeller family,agent,Q24229398
Q205718,Zirid Dynasty,agent,Q24229398
Q826719,Bernoulli,agent,Q24229398
Q220110,Rohan,agent,Q24229398
Q211686,Númenor,agent,Q24229398
Q168489,Lebensborn e. V.,agent,Q24229398
Q308659,Lothlórien,agent,Q24229398
Q213223,Arnor,agent,Q24229398
Q1369980,Esterházy,agent,Q24229398
Q455758,Amati,agent,Q24229398
Q368572,Valinor,agent,Q24229398
Q931814,Köprülü family,agent,Q24229398
Q129597,Roskomnadzor,agent,Q24229398
Q1154417,Gondolin,agent,Q24229398
Q1210996,Atheist Alliance International,agent,Q24229398
Q252801,Kanō school,agent,Q24229398
Q808354,Barmakids,agent,Q24229398
Q616849,Bank of Lithuania,agent,Q24229398
Q851422,China Daily,agent,Q24229398
Q652086,Alcmaeonidae,agent,Q24229398
Q719496,Angmar,agent,Q24229398
Q699788,House of Württemberg,agent,Q24229398
Q289953,ADAC,agent,Q24229398
Q1472511,Statistics Sweden,agent,Q24229398
Q1586228,Jambudvīpa,agent,Q24229398
Q1751922,Syldavia,agent,Q24229398
Q766099,Wakanda,agent,Q24229398
Q914073,Ophir,agent,Q24229398
Q123228,Guarneri family,agent,Q24229398
Q27907344,family of Donald Trump,agent,Q24229398
Q19284445,Lazarus Group,agent,Q24229398
Q1348502,Genovese crime family,agent,Q24229398
Q1751472,Borduria,agent,Q24229398
Q697685,House of Nassau-Weilburg,agent,Q24229398
Q641375,Doriath,agent,Q24229398
Q753771,Nargothrond,agent,Q24229398
Q2918164,Land of Oz,agent,Q24229398
Q482622,Paris Foreign Missions Society,agent,Q24229398
Q23138,Chaos Computer Club,agent,Q24229398
Q2558023,Welser family,agent,Q24229398
Q764739,Federal Statistical Office of Germany,agent,Q24229398
Q284829,Vanderbilt family,agent,Q24229398
Q8381,Visual Effects Society,agent,Q24229398
Q2661296,Monetary Authority of Singapore,agent,Q24229398
Q1000219,Kapoor family,agent,Q24229398
Q3765113,Solar dynasty,agent,Q24229398
Q962467,University of the Arctic,agent,Q24229398
Q911673,Longman,agent,Q24229398
Q840539,Eregion,agent,Q24229398
Q74662,Luxembourg Stock Exchange,agent,Q24229398
Q127107,The most beautiful villages in Italy,agent,Q24229398
Q114985162,Listenbourg,agent,Q24229398
Q173577,Grand Prix Drivers' Association,agent,Q24229398
Q569436,Hitler Family,agent,Q24229398
Q95747857,Kardashian-Jenner family,agent,Q24229398
Q1189867,white Rajah,agent,Q24229398
Q3456351,Republican faction,agent,Q24229398
Q1642698,Kantakouzenos,agent,Q24229398
Q1138237,Linux user group,agent,Q24229398
Q645853,House of Drăculești,agent,Q24229398
Q1502964,International Police Association,agent,Q24229398
Q1078091,Combine,agent,Q24229398
Q1642179,Allied Irish Banks,agent,Q24229398
Q2354826,House of Braganza-Saxe-Coburg and Gotha,agent,Q24229398
Q2031887,Colombo crime family,agent,Q24229398
Q1344278,ParisTech,agent,Q24229398
Q2291525,Organisation Internationale des Constructeurs d'Automobiles,agent,Q24229398
Q2804040,San Theodoros,agent,Q24229398
Q833022,Lindon,agent,Q24229398
Q173337,Formula One Teams Association,agent,Q24229398
Q117791942,AutoGPT,agent,Q24229398
Q133102805,Manus,agent,Q24229398
Q1413905,European Network of Transmission System Operators for Electricity,agent,Q24229398
Q1929987,Karamanli dynasty,agent,Q24229398
Q708821,House of Schwarzburg,agent,Q24229398
Q583628,Balyan family,agent,Q24229398
Q137916205,OpenClaw,agent,Q24229398
Q54495162,family of Joe Biden,agent,Q24229398
Q25462647,al-Arsh,agent,Q24229398
Q1817174,Supermicro,agent,Q24229398
Q2513938,Association of German National Jews,agent,Q24229398
Q3058074,Fédération Régions et Peuples Solidaires,agent,Q24229398
Q2670167,Gracie family,agent,Q24229398
Q1779011,Society of Motion Picture and Television Engineers,agent,Q24229398
Q1571780,International Press Telecommunications Council,agent,Q24229398
Q2359988,Woman with seven sons,agent,Q24229398
Q2328785,Mushroom Kingdom,agent,Q24229398
Q2032400,Guggenheim family,agent,Q24229398
Q339067,Acciaioli family,agent,Q24229398
Q531069,Freedom from Religion Foundation,agent,Q24229398
Q173495,Formula One Constructors Association,agent,Q24229398
Q615242,Lykov family,agent,Q24229398
Q129462,Roosevelt family,agent,Q24229398
Q26593,Tiesenhausen,agent,Q24229398
Q61911512,Sackler family,agent,Q24229398
Q1190306,La Liga Filipina,agent,Q24229398
Q3515994,Tata family,agent,Q24229398
Q1252823,Q1252823,agent,Q24229398
Q2446654,Ghica family,agent,Q24229398
Q1624064,Detection Club,agent,Q24229398
Q3133080,Józef and Wiktoria Ulma with Seven Children,agent,Q24229398
Q1026252,Calandreta,agent,Q24229398
Q2027280,Optica,agent,Q24229398
Q2269313,Walton family,agent,Q24229398
Q473437,Holy Kinship,agent,Q24229398
Q463410,AARP,agent,Q24229398
Q661575,Astor family,agent,Q24229398
Q643049,family of Barack Obama,agent,Q24229398
Q866428,House of Bismarck,agent,Q24229398
Q863493,Bin-Laden family,agent,Q24229398
Q522095,Millî Görüş,agent,Q24229398
Q923051,Brobdingnag,agent,Q24229398
Q920707,Gemayel family,agent,Q24229398
Q21055394,Agnelli family,agent,Q24229398
Q2612468,Çandarlı family,agent,Q24229398
Q1259864,Peruzzi,agent,Q24229398
Q2720685,Logres,agent,Q24229398
Q1774447,Cayman Islands Monetary Authority,agent,Q24229398
Q2149337,Richard Dawkins Foundation for Reason and Science,agent,Q24229398
Q465035,American Humanist Association,agent,Q24229398
Q707525,Ovitz family,agent,Q24229398
Q648015,Center for Inquiry,agent,Q24229398
Q764847,European Science Foundation,agent,Q24229398
Q323119,National Socialist Teachers League,agent,Q24229398
Q111167889,Musk family,agent,Q24229398
Q38187789,Veyshnoria,agent,Q24229398
Q13099569,Hyrule,agent,Q24229398
Q17003193,bamboo network,agent,Q24229398
Q2615692,Securities and Exchange Board of India,agent,Q24229398
Q1256057,House of Drašković,agent,Q24229398
Q2469685,Archenland,agent,Q24229398
Q2415171,Latveria,agent,Q24229398
Q1933477,Khemed,agent,Q24229398
Q1127720,People's Party,agent,Q24229398
Q1986262,Du Pont family,agent,Q24229398
Q2263954,Bardi family,agent,Q24229398
Q257303,Companies House,agent,Q24229398
Q644291,Ruritania,agent,Q24229398
Q640772,Cirksena,agent,Q24229398
Q581266,Muhallabids,agent,Q24229398
Q602323,House of Elzevir,agent,Q24229398
Q1190036,Hart wrestling family,agent,Q24229398
Q7107138,Osmanoğlu family,agent,Q24229398
Q5433361,family of Gautama Buddha,agent,Q24229398
Q2095430,Family McMahon,agent,Q24229398
Q3402263,Wonderland,agent,Q24229398
Q1796233,Kingdom of Saguenay,agent,Q24229398
Q3236696,Urasenke,agent,Q24229398
Q1521511,Guédé,agent,Q24229398
Q2006182,Skleros,agent,Q24229398
Q2298285,Didot family,agent,Q24229398
Q3843078,Mag Mell,agent,Q24229398
Q2886622,Narnia,agent,Q24229398
Q445633,King of the Cocos (Keeling) Islands,agent,Q24229398
Q178222,Huxley family,agent,Q24229398
Q175926,Sassoon family,agent,Q24229398
Q938697,House of Odescalchi,agent,Q24229398
Q746706,Bauhin,agent,Q24229398
Q124730,Bloody Benders,agent,Q24229398
Q5915398,House of Schaumburg,agent,Q24229398
Q12630377,European Taekwondo Federation,agent,Q24229398
Q3622516,Arianiti family,agent,Q24229398
Q4315103,National Union of Artists of Ukraine,agent,Q24229398
Q3559050,Argyros,agent,Q24229398
Q3555592,Anoaʻi family,agent,Q24229398
Q4205523,House of Jamalullail,agent,Q24229398
Q2464538,Calormen,agent,Q24229398
Q1816377,Ancient Greek liturgy,agent,Q24229398
Q1791350,Kujō family,agent,Q24229398
Q3065011,Camondo family,agent,Q24229398
Q4582435,House of Sverre,agent,Q24229398
Q3326594,Mouvement de libération des femmes,agent,Q24229398
Q2366833,Nobel family,agent,Q24229398
Q2043406,Hovnatanyan family,agent,Q24229398
Q2001955,Lukomorye,agent,Q24229398
Q2915792,Jumblatt family,agent,Q24229398
Q463886,Solms-Braunfels,agent,Q24229398
Q697947,Pahlen,agent,Q24229398
Q199992,Solesmes Congregation,agent,Q24229398
Q635917,Thun und Hohenstein,agent,Q24229398
Q869018,Coppola family,agent,Q24229398
Q573437,House of Metternich,agent,Q24229398
Q477878,House of Amsberg,agent,Q24229398
Q315680,Parler family,agent,Q24229398
Q615316,Financial Services Agency,agent,Q24229398
Q606739,Clan Agnew,agent,Q24229398
Q55267,Jī,agent,Q24229398
Q100605916,Sandworm,agent,Q24229398
Q60544836,Al Sharqi,agent,Q24229398
Q28319960,Gandhi family,agent,Q24229398
Q28229734,San Escobar,agent,Q24229398
Q19830362,The Most Beautiful Villages of the World,agent,Q24229398
Q5210224,Dalassenos,agent,Q24229398
Q18091480,The Doll Family,agent,Q24229398
Q4838729,Bachchan family,agent,Q24229398
Q4894522,National Securities Market Commission,agent,Q24229398
Q7574954,Species 2000,agent,Q24229398
Q1270330,Danish Order of Freemasons,agent,Q24229398
Q3437281,Pavlović noble family,agent,Q24229398
Q2500275,Redgrave family,agent,Q24229398
Q3033527,Soutzos family,agent,Q24229398
Q2934202,Callimachi family,agent,Q24229398
Q1116777,Von Erich family,agent,Q24229398
Q1109305,Collegium Vocale Gent,agent,Q24229398
Q2320556,Fire Nation,agent,Q24229398
Q997259,Brătianu,agent,Q24229398
Q250230,Militia Templi,agent,Q24229398
Q469819,Sayn-Wittgenstein-Sayn,agent,Q24229398
Q688530,House of Dietrichstein,agent,Q24229398
Q892418,Al-Husayni family,agent,Q24229398
Q646280,House of Kettler,agent,Q24229398
Q798796,KANUKOKA,agent,Q24229398
Q568649,Anrep,agent,Q24229398
Q554997,Warburg family,agent,Q24229398
Q550499,Drengot family,agent,Q24229398
Q511645,PostEurop,agent,Q24229398
Q910791,International Catholic Conference of Scouting,agent,Q24229398
Q753742,Al-Atassi family,agent,Q24229398
Q267160,Apponyi,agent,Q24229398
