qid,label,class_label,class_qid
Q132325,Ayurveda,Medicine,Q11190
Q186005,physiotherapy,Medicine,Q11190
Q1674502,isolation,Medicine,Q11190
Q1520176,unani,Medicine,Q11190
Q1567507,traditional Tibetan medicine,Medicine,Q11190
Q13884156,Strava,Medicine,Q11190
Q2643251,chemical synapse,Medicine,Q11190
Q3298118,suicide prevention,Medicine,Q11190
Q1787013,cancer prevention,Medicine,Q11190
Q4118322,infection control,Medicine,Q11190
Q710679,traditional Korean medicine,Medicine,Q11190
Q403356,Kampo,Medicine,Q11190
Q13608061,registered nurse,Medicine,Q11190
Q5276090,digital health,Medicine,Q11190
Q3314827,dysthanasia,Medicine,Q11190
Q1459370,Soteria,Medicine,Q11190
Q7242372,prevention of HIV/AIDS,Medicine,Q11190
Q3595652,gripe water,Medicine,Q11190
Q16382962,ampelotherapy,Medicine,Q11190
Q1858805,quaternary prevention,Medicine,Q11190
Q465206,SLAP tear,Medicine,Q11190
Q7632064,substance abuse prevention,Medicine,Q11190
Q22906178,activities of daily living assistance,Medicine,Q11190
Q2976573,classification of mental disorders,Medicine,Q11190
Q373494,injury prevention,Medicine,Q11190
Q112730030,Dentistry in ancient Rome,Medicine,Q11190
Q7447057,Seizure types,Medicine,Q11190
Q60641756,Stem cell therapy for macular degeneration,Medicine,Q11190
Q7442966,Second-impact syndrome,Medicine,Q11190
Q6741352,malaria prophylaxis,Medicine,Q11190
Q4959789,Breast cancer classification,Medicine,Q11190
Q593056,Nerve injury classification,Medicine,Q11190
Q16909810,Ritucharya,Medicine,Q11190
Q11776829,Telemedical Maritime Assistance Service,Medicine,Q11190
Q25326635,Thrombosis prophylaxis,Medicine,Q11190
Q7242391,prevention of dementia,Medicine,Q11190
Q5128414,Classification of transsexual people,Medicine,Q11190
Q4919677,Gustilo open fracture classification,Medicine,Q11190
Q696140,catuaba,Medicine,Q11190
Q15806530,Zava,Medicine,Q11190
Q15407936,Mapuche medicine,Medicine,Q11190
Q50036476,Behman Hospital,Medicine,Q11190
Q7242390,prevention of concussions,Medicine,Q11190
Q123925167,Pelvic examinations under anesthesia by medical students without consent,Medicine,Q11190
Q7850843,Tuberculosis classification,Medicine,Q11190
Q7832293,Traditional Hausa medicine,Medicine,Q11190
Q20183175,Vaginal cytology,Medicine,Q11190
Q18395149,Winquist and Hansen classification,Medicine,Q11190
Q18344466,Prevention of viral hemorrhagic fever,Medicine,Q11190
Q18206668,Dukhan,Medicine,Q11190
Q85782771,Lā‘au lapa‘au,Medicine,Q11190
Q48987759,Classification of sleep disorders,Medicine,Q11190
Q48795640,Classification of distal radius fractures,Medicine,Q11190
Q25113111,Combat lifesaver course,Medicine,Q11190
Q104841089,DaT scan,Medicine,Q11190
Q104596067,K-Quarantine,Medicine,Q11190
Q7242392,prevention of diabetes mellitus type 2,Medicine,Q11190
Q5128409,Classification of pneumonia,Medicine,Q11190
Q1643131,classification of periodontal diseas,Medicine,Q11190
Q138504508,Hidaklon,Medicine,Q11190
Q135196476,Maibaron,Medicine,Q11190
Q111076814,Oncology information system,Medicine,Q11190
Q8034912,Working Formulation,Medicine,Q11190
Q7813368,toileting,Medicine,Q11190
Q69289173,Confrontation visual field testing,Medicine,Q11190
Q65091035,Traditional Alaska Native medicine,Medicine,Q11190
Q25339435,Charcot–Marie–Tooth disease classifications,Medicine,Q11190
Q110130719,Wobbly Possum Disease,Medicine,Q11190
Q7242383,Prevention of Tay–Sachs disease,Medicine,Q11190
Q6030308,Influenza prevention,Medicine,Q11190
