qid,label,class_label,class_qid
Q80130,Nuremberg trials,Legal Case,Q2334719
Q183421,My Lai Massacre,Legal Case,Q2334719
Q219698,Salem Witch Trials,Legal Case,Q2334719
Q4670,Moscow theater hostage crisis,Legal Case,Q2334719
Q300950,Roe v. Wade,Legal Case,Q2334719
Q136536203,2025 Louvre robbery,Legal Case,Q2334719
Q160721,Nuremberg Medical Trial,Legal Case,Q2334719
Q53432,Fritzl case,Legal Case,Q2334719
Q104713215,second impeachment of Donald Trump,Legal Case,Q2334719
Q875738,Brown v. Board of Education,Legal Case,Q2334719
Q117349399,New York prosecution of Donald Trump,Legal Case,Q2334719
Q320680,Tokyo Trial,Legal Case,Q2334719
Q21000630,Volkswagen emissions scandal,Legal Case,Q2334719
Q690462,Dred Scott v. Sandford,Legal Case,Q2334719
Q19866992,Obergefell v. Hodges,Legal Case,Q2334719
Q107058269,Dobbs v. Jackson Women's Health Organization,Legal Case,Q2334719
Q29665,Einsatzgruppen Trial,Legal Case,Q2334719
Q538242,Marbury v. Madison,Legal Case,Q2334719
Q256664,Doctors' plot,Legal Case,Q2334719
Q1345835,Loving v. Virginia,Legal Case,Q2334719
Q714688,Khabarovsk War Crime Trials,Legal Case,Q2334719
Q119821735,Mazan rape case,Legal Case,Q2334719
Q56282000,Watts family murders,Legal Case,Q2334719
Q79063280,first impeachment of Donald Trump,Legal Case,Q2334719
Q27942570,Impeachment of Park Geun-hye,Legal Case,Q2334719
Q656660,Plessy v. Ferguson,Legal Case,Q2334719
Q131384112,Impeachment of Yoon Suk Yeol,Legal Case,Q2334719
Q1157002,Lawrence v. Texas,Legal Case,Q2334719
Q278475,The Axeman of New Orleans,Legal Case,Q2334719
Q82306,Asia Bibi blasphemy case,Legal Case,Q2334719
Q702460,Ministries Trial,Legal Case,Q2334719
Q704237,IG Farben Trial,Legal Case,Q2334719
Q565686,High Command Trial,Legal Case,Q2334719
Q820192,Judges' Trial,Legal Case,Q2334719
Q510395,Frankfurt Auschwitz Trials,Legal Case,Q2334719
Q836476,Hostages Trial,Legal Case,Q2334719
Q2065434,Bush v. Gore,Legal Case,Q2334719
Q1642249,Miranda v. Arizona,Legal Case,Q2334719
Q2420705,Nix v. Hedden,Legal Case,Q2334719
Q677740,Krupp Trial,Legal Case,Q2334719
Q288565,Auschwitz Trial,Legal Case,Q2334719
Q119233993,federal prosecution of Donald Trump for mishandling of classified documents,Legal Case,Q2334719
Q2234733,Blue Diamond Affair,Legal Case,Q2334719
Q644827,Pohl Trial,Legal Case,Q2334719
Q1158270,Damascus affair,Legal Case,Q2334719
Q131567305,Impeachment of Han Duck-soo,Legal Case,Q2334719
Q19545049,Wikimedia v. NSA,Legal Case,Q2334719
Q108126419,Mortara case,Legal Case,Q2334719
Q76490552,2019 Dresden heist,Legal Case,Q2334719
Q677817,RuSHA Trial,Legal Case,Q2334719
Q565682,Dachau Trials,Legal Case,Q2334719
Q1400715,Bridgeman Art Library v. Corel Corp.,Legal Case,Q2334719
Q130603111,Asian News International vs. Wikimedia Foundation,Legal Case,Q2334719
Q121087450,federal prosecution of Donald Trump for election interference,Legal Case,Q2334719
Q77040383,2019 Hyderabad gang rape case,Legal Case,Q2334719
Q25174971,murder of Giulio Regeni,Legal Case,Q2334719
Q565674,Flick Trial,Legal Case,Q2334719
Q3326225,Trial of the Juntas,Legal Case,Q2334719
Q24576744,2016 Magnanville stabbing,Legal Case,Q2334719
Q102422710,attempts to overturn the 2020 United States presidential election,Legal Case,Q2334719
Q85971939,Nth Room case,Legal Case,Q2334719
Q6795210,Beilis Affair,Legal Case,Q2334719
Q3072131,Nanjing War Crimes Tribunal,Legal Case,Q2334719
Q3044650,Pendle witches,Legal Case,Q2334719
Q661675,Chisholm v. Georgia,Legal Case,Q2334719
Q5061609,Central Park jogger case,Legal Case,Q2334719
Q3822327,Basque witch trials,Legal Case,Q2334719
Q3491168,North Berwick witch trials,Legal Case,Q2334719
Q383025,Tiszaeszlár Affair,Legal Case,Q2334719
Q4634328,300 million yen robbery,Legal Case,Q2334719
Q107287943,British Post Office scandal,Legal Case,Q2334719
Q85748361,"Bostock v. Clayton County, Georgia",Legal Case,Q2334719
Q2559328,Furman v. Georgia,Legal Case,Q2334719
Q2407695,Texas v. White,Legal Case,Q2334719
Q2107009,Planned Parenthood v. Casey,Legal Case,Q2334719
Q559225,The Alcasser Girls,Legal Case,Q2334719
Q5507833,Witch hunt in Fulda,Legal Case,Q2334719
Q472298,United States v. The Amistad,Legal Case,Q2334719
Q1092602,Citizens United v. Federal Election Commission,Legal Case,Q2334719
Q1053373,Griswold v. Connecticut,Legal Case,Q2334719
Q43629,Buchenwald Trial,Legal Case,Q2334719
Q98839064,Epic Games v. Apple,Legal Case,Q2334719
Q10339441,Lead Masks Case,Legal Case,Q2334719
Q6514938,Minsk Trial,Legal Case,Q2334719
Q2945772,Keddie Murders,Legal Case,Q2334719
Q2907274,Bowers v. Hardwick,Legal Case,Q2334719
Q2825798,Grégory case,Legal Case,Q2334719
Q2261072,Roper v. Simmons,Legal Case,Q2334719
Q691887,Hilsner Affair,Legal Case,Q2334719
Q6938066,Murder of Sophie Lancaster,Legal Case,Q2334719
Q488968,Hwaseong serial murders,Legal Case,Q2334719
Q965116,Texarkana Moonlight Murders,Legal Case,Q2334719
Q4816203,Atlanta murders of 1979–1981,Legal Case,Q2334719
Q908270,McCulloch v. Maryland,Legal Case,Q2334719
