qid,label,class_label,class_qid
Q10987,honey,Food,Q2095
Q15645384,wheat,Food,Q2095
Q36465,flour,Food,Q2095
Q13317,yogurt,Food,Q2095
Q83364,vegetarianism,Food,Q2095
Q165199,chili pepper,Food,Q2095
Q28165,cinnamon,Food,Q2095
Q6663,hamburger,Food,Q2095
Q80235,Tamarindus indica,Food,Q2095
Q93189,egg as food,Food,Q2095
Q45422,yeast,Food,Q2095
Q131419,sausage,Food,Q2095
Q13186,raisin,Food,Q2095
Q41534,starch,Food,Q2095
Q177378,tofu,Food,Q2095
Q546523,bone marrow,Food,Q2095
Q491517,samosa,Food,Q2095
Q12372598,plum,Food,Q2095
Q187495,baklava,Food,Q2095
Q170486,ham,Food,Q2095
Q379813,bean,Food,Q2095
Q83165,nutmeg,Food,Q2095
Q49391,Allium,Food,Q2095
Q188788,falafel,Food,Q2095
Q271555,biryani,Food,Q2095
Q20034,lasagna,Food,Q2095
Q841779,coconut milk,Food,Q2095
Q103169,Rhodophyta,Food,Q2095
Q231458,palm oil,Food,Q2095
Q192628,beef,Food,Q2095
Q188879,Atlantic salmon,Food,Q2095
Q181871,sturgeon,Food,Q2095
Q181409,egg yolk,Food,Q2095
Q205762,goulash,Food,Q2095
Q177998,agar,Food,Q2095
Q134185,durian,Food,Q2095
Q107411,oyster,Food,Q2095
Q154166,sauerkraut,Food,Q2095
Q185009,whey,Food,Q2095
Q5727732,Cymbopogon,Food,Q2095
Q208021,walnut,Food,Q2095
Q375,waffle,Food,Q2095
Q44541,pancake,Food,Q2095
Q16587531,potato,Food,Q2095
Q2796766,salmon,Food,Q2095
Q281278,Olivier salad,Food,Q2095
Q192892,ayran,Food,Q2095
Q94787,sunflower oil,Food,Q2095
Q381350,semolina,Food,Q2095
Q208172,baguette,Food,Q2095
Q202406,haddock,Food,Q2095
Q12200,crêpe,Food,Q2095
Q182339,Turkish delight,Food,Q2095
Q29476,baking powder,Food,Q2095
Q189221,Roquefort cheese,Food,Q2095
Q578307,hazelnut,Food,Q2095
Q876624,carbonara,Food,Q2095
Q3127593,paprika,Food,Q2095
Q269781,yellowfin tuna,Food,Q2095
Q390823,burrito,Food,Q2095
Q200473,bleak,Food,Q2095
Q827654,lassi,Food,Q2095
Q1126275,pakora,Food,Q2095
Q111185,Ferula assa-foetida,Food,Q2095
Q15181,shashlik,Food,Q2095
Q796758,egg white,Food,Q2095
Q52406,muesli,Food,Q2095
Q648352,bibimbap,Food,Q2095
Q598222,bigos,Food,Q2095
Q1517781,shrimp,Food,Q2095
Q12106,Triticum,Food,Q2095
Q120096,Tempeh,Food,Q2095
Q863794,chili,Food,Q2095
Q975953,almond milk,Food,Q2095
Q152981,potato pancake,Food,Q2095
Q941004,fufu,Food,Q2095
Q865004,tajine,Food,Q2095
Q495360,gimbap,Food,Q2095
Q742385,white chocolate,Food,Q2095
Q262796,manti,Food,Q2095
Q673380,pink salmon,Food,Q2095
Q523224,cooked rice,Food,Q2095
Q747457,empanada,Food,Q2095
Q27855,Mytilus edulis,Food,Q2095
Q282694,sea salt,Food,Q2095
Q1076874,fried rice,Food,Q2095
Q475211,chum salmon,Food,Q2095
Q30186,chocolate cake,Food,Q2095
