qid,label,class_label,class_qid
Q9089,Hinduism,name,Q82799
Q13191,orange,name,Q82799
Q132050,governor,name,Q82799
Q50675,historiography,name,Q82799
Q169260,Moors,name,Q82799
Q379813,bean,name,Q82799
Q101004,aorta,name,Q82799
Q134003,hemophilia,name,Q82799
Q51415,queer,name,Q82799
Q179630,syndrome,name,Q82799
Q13195,lime,name,Q82799
Q832237,environmental protection,name,Q82799
Q193607,idiot,name,Q82799
Q1040689,synonym,name,Q82799
Q157146,French Resistance,name,Q82799
Q155321,Land of Israel,name,Q82799
Q243253,physical education,name,Q82799
Q150939,Operation Weserübung,name,Q82799
Q2796622,mean,name,Q82799
Q206280,pulmonary artery,name,Q82799
Q214275,common carotid artery,name,Q82799
Q158281,Wends,name,Q82799
Q918396,National Health Service,name,Q82799
Q191769,Norwegian Wikipedias,name,Q82799
Q538677,Angevin Empire,name,Q82799
Q221403,NATO reporting name,name,Q82799
Q100732653,long covid,name,Q82799
Q464257,Omaha Beach,name,Q82799
Q13194720,LGBTQ term,name,Q82799
Q503125,goy,name,Q82799
Q748040,Mount Hiei,name,Q82799
Q1130204,Coloured,name,Q82799
Q642576,Oxbridge,name,Q82799
Q535065,Mount Kōya,name,Q82799
Q372409,vena cava,name,Q82799
Q321803,efendi,name,Q82799
Q1154741,Kurdish Wikipedias,name,Q82799
Q61061,chancellor,name,Q82799
Q1055894,deputy,name,Q82799
Q239872,undead,name,Q82799
Q7214750,elementary arithmetic,name,Q82799
Q380153,Dynamic HTML,name,Q82799
Q535352,pulmonary vein,name,Q82799
Q485544,CinemaScope,name,Q82799
Q371909,prefect,name,Q82799
Q864495,Japan Railways Group,name,Q82799
Q747371,Karmapa,name,Q82799
Q264323,chamberlain,name,Q82799
Q832409,Juno Beach,name,Q82799
Q1265533,air conditioner,name,Q82799
Q616782,Cilix,name,Q82799
Q468325,Eternal leaders of North Korea,name,Q82799
Q2074145,New Holland,name,Q82799
Q285661,impost,name,Q82799
Q1138519,Sword Beach,name,Q82799
Q1088341,chronophilia,name,Q82799
Q853077,mathematics education,name,Q82799
Q989888,Starship Enterprise,name,Q82799
Q745883,Gold Beach,name,Q82799
Q1764530,Google logo,name,Q82799
Q1054813,municipality of Japan,name,Q82799
Q49332,Nusantara,name,Q82799
Q775352,Golden Team,name,Q82799
Q146666,Zanj,name,Q82799
Q101874706,assisted dying,name,Q82799
Q721983,Dixie,name,Q82799
Q3281269,North Sea Empire,name,Q82799
Q1250849,Pākehā,name,Q82799
Q47521958,Q47521958,name,Q82799
Q695868,Third Position,name,Q82799
Q648414,Paradoxornis,name,Q82799
Q122311452,Belarusian Wikipedias,name,Q82799
Q33418949,umarell,name,Q82799
Q567424,annus mirabilis,name,Q82799
Q1510813,South Melbourne Football Club,name,Q82799
Q11289,Panavision,name,Q82799
Q347181,Adam,name,Q82799
Q1145956,Phoenix,name,Q82799
Q16896780,Kizlar Agha,name,Q82799
Q301486,Deep Throat,name,Q82799
Q959796,Majestic 12,name,Q82799
Q833345,Sara,name,Q82799
Q21953164,Georgian Golden Age,name,Q82799
Q3175821,Great Satan,name,Q82799
Q1240569,professor emeritus,name,Q82799
Q2558835,Christ the King,name,Q82799
Q1542052,active learning,name,Q82799
Q3270170,descending aorta,name,Q82799
Q6502673,planarian,name,Q82799
Q1623209,Hofmarschall,name,Q82799
Q1189867,white Rajah,name,Q82799
Q1471148,Venice of the North,name,Q82799
Q2769157,Abigail,name,Q82799
Q14942945,God's Wife of Amun,name,Q82799
Q108103117,Graveyard of empires,name,Q82799
Q3943294,Rum,name,Q82799
Q1585001,Coryphaeus,name,Q82799
Q858576,musical tuning,name,Q82799
Q133859283,Q133859283,name,Q82799
Q786447,Fifth Beatle,name,Q82799
Q1870516,Galácticos,name,Q82799
Q2085762,Philadelphia Cream Cheese,name,Q82799
Q23043453,Little Satan,name,Q82799
Q1285463,prefect,name,Q82799
Q76475,gypsy,name,Q82799
Q97359551,Rocket Lake,name,Q82799
Q30674738,baizuo,name,Q82799
Q835313,Gangaridai,name,Q82799
Q723160,Kyi,name,Q82799
Q697216,Wunderteam,name,Q82799
Q446966,conservator,name,Q82799
Q1074760,limmu,name,Q82799
Q1428442,Flying Finn,name,Q82799
Q2703932,Eisenia bicyclis,name,Q82799
Q2618410,Melianthus,name,Q82799
Q133859301,Q133859301,name,Q82799
Q17993985,Guarded Domains of Iran,name,Q82799
Q1827911,Lisbon Lions,name,Q82799
Q5405633,research assistant,name,Q82799
Q1206446,OTMA,name,Q82799
Q1567001,Kapi Agha,name,Q82799
Q897988,Divine Adoratrice of Amun,name,Q82799
Q1638649,Melbourne Knights Football Club,name,Q82799
Q1585756,Lumad peoples,name,Q82799
Q2625845,Mujina,name,Q82799
Q16747395,Jakob,name,Q82799
Q3327213,hippopotomonstrosesquipedaliophobia,name,Q82799
Q5764134,Hilltop Youth,name,Q82799
Q1283380,Dominus,name,Q82799
Q3667566,unique key,name,Q82799
Q2290699,Situated learning,name,Q82799
Q1319333,Kangaroo Route,name,Q82799
Q707443,superior pancreaticoduodenal artery,name,Q82799
Q696645,Court councillor,name,Q82799
Q655615,nomenclator,name,Q82799
Q111843053,pearly gates,name,Q82799
Q324900,Mainhattan,name,Q82799
Q3046590,Eastmancolor,name,Q82799
Q3573026,torta,name,Q82799
Q3566197,Waq-Waq,name,Q82799
Q4736453,Mehmetçik,name,Q82799
Q922587,Nagano Shinkansen,name,Q82799
Q105724340,Pahari language,name,Q82799
Q97304421,Meteor Lake,name,Q82799
Q819543,Silver Arrows,name,Q82799
Q10293986,Harpic,name,Q82799
Q20757544,carotid artery,name,Q82799
Q3320761,Down Under,name,Q82799
Q329912,habitual residence,name,Q82799
Q1251907,Doughboy,name,Q82799
Q2369327,Cartoon Cartoons,name,Q82799
Q1290149,Federal People's Republic of Yugoslavia,name,Q82799
Q887178,Jayhawker,name,Q82799
Q858859,Big Four,name,Q82799
Q14905928,NewSpace,name,Q82799
Q7861273,Typhoon Nanmadol,name,Q82799
Q7688236,Tatra Tiger,name,Q82799
Q543009,Lord Haw-Haw,name,Q82799
Q3399796,Onion Johnny,name,Q82799
Q359612,Todd-AO,name,Q82799
Q3022204,damselfish,name,Q82799
Q1728316,Cape Horner,name,Q82799
Q2411682,The Glimmer Twins,name,Q82799
Q2460281,Zionist entity,name,Q82799
Q2777958,kosher slaughterer,name,Q82799
Q953027,Silicon Forest,name,Q82799
Q16673845,Little Russians,name,Q82799
Q16278492,Little red dot,name,Q82799
Q831240,Free Zone,name,Q82799
Q753575,"Governance, risk management, and compliance",name,Q82799
Q7763450,The Seven Queens of Sindh,name,Q82799
Q114381886,Sleepy Joe,name,Q82799
Q113621766,grandpa in his bunker,name,Q82799
Q603701,Sára,name,Q82799
Q1997184,Damodar,name,Q82799
Q2735904,Worshipful Master,name,Q82799
Q25302529,King of the Gypsies,name,Q82799
Q108854353,xenogender,name,Q82799
Q18206302,crystalline silicon,name,Q82799
Q8352077,Creand,name,Q82799
Q20795192,Hexie,name,Q82799
Q11000929,Daud,name,Q82799
Q10888418,Wajin,name,Q82799
Q10862197,Hooker's Green,name,Q82799
Q63074571,Jacob,name,Q82799
Q329112,Operation Silbertanne,name,Q82799
Q1979298,grosbeak,name,Q82799
Q1916350,ecumenical creeds,name,Q82799
Q3251488,buzzard,name,Q82799
Q6554247,Pinocchio frog,name,Q82799
Q3618602,blason populaire,name,Q82799
Q3562482,ecclesiastical address,name,Q82799
Q1153798,Prydain,name,Q82799
Q2636571,La Máquina,name,Q82799
Q221905,Big Four,name,Q82799
Q127151,Cryptomycetaceae,name,Q82799
Q96889066,Aamu,name,Q82799
Q48730703,Paharnic,name,Q82799
Q12734768,Mameluco,name,Q82799
Q17626392,Ave Cesaria,name,Q82799
Q8162443,caralho,name,Q82799
Q8031151,women's fiction,name,Q82799
Q7717762,The Big Red Machine,name,Q82799
Q117871613,Anglo-Saxons,name,Q82799
Q66491138,fogde,name,Q82799
Q7489010,Shanqella,name,Q82799
Q7096284,web platform,name,Q82799
Q422483,Operation Vermin,name,Q82799
Q3307699,Balay,name,Q82799
Q4387674,Japanese ship-naming conventions,name,Q82799
Q3012902,The Invincibles,name,Q82799
Q5581316,gonadal artery,name,Q82799
Q3927401,Sorbus ×pinnatifida,name,Q82799
Q3751604,Aegea,name,Q82799
Q3545665,Juan dela Cruz,name,Q82799
Q1129915,roligan,name,Q82799
Q2396997,Mokum,name,Q82799
Q1431426,Motronic,name,Q82799
Q1424116,maegashira,name,Q82799
Q2585403,We've had abortions!,name,Q82799
Q212152,Praying Indian,name,Q82799
Q1555191,Kuringgai,name,Q82799
Q1476039,Petite Église,name,Q82799
Q256688,medical director,name,Q82799
Q16821679,Site A / Plot M Disposal Site,name,Q82799
Q15635685,Legion of Boom (Seattle Seahawks),name,Q82799
Q55605426,G-12,name,Q82799
Q12847483,People’s Poet of Azerbaijan,name,Q82799
Q754325,Toxic Twins,name,Q82799
Q111160258,Emerald Rapids,name,Q82799
Q81234060,Molly Pitcher,name,Q82799
Q6935011,plurality,name,Q82799
Q388670,Mamsell,name,Q82799
Q3437274,activated sludge model,name,Q82799
Q3359619,PC Bruno cadix,name,Q82799
Q4430644,Spice Boys,name,Q82799
Q360317,Mackem,name,Q82799
Q1781095,Kozar,name,Q82799
Q4345998,Liberal Front Party,name,Q82799
Q1686136,Jedediah,name,Q82799
Q4018984,Wembley Wizards,name,Q82799
Q5099587,Showtime,name,Q82799
Q5049278,cassava mosaic virus,name,Q82799
Q4781537,applied drama,name,Q82799
Q875149,Gemeinnützige Krankentransport GmbH,name,Q82799
Q19840089,Far West,name,Q82799
Q19720184,Trey,name,Q82799
Q11887871,Phalaena Linnaeus (1758),name,Q82799
Q96400551,Kara Bodun,name,Q82799
Q100701460,Accelerator-in-Chief,name,Q82799
Q61433255,Yaa Naa,name,Q82799
Q16281087,Saara,name,Q82799
Q15077740,Parcelforce,name,Q82799
Q13495118,middlebrow,name,Q82799
Q13100127,Ishak,name,Q82799
Q8539331,bottled gas,name,Q82799
Q7542243,Sluger,name,Q82799
Q10754476,Kuchen,name,Q82799
Q12442971,lect,name,Q82799
Q63615499,Jedidiah,name,Q82799
Q66811929,People's Artist of Azerbaijan,name,Q82799
Q471478,Super-LumiNova,name,Q82799
Q7245047,principal,name,Q82799
Q6974746,National Park Service ranger,name,Q82799
Q1946824,C.L.E. Moore instructor,name,Q82799
Q4238133,The Red Machine,name,Q82799
Q3143465,hussard noir,name,Q82799
Q2922060,Boulevard du Crime,name,Q82799
Q6344232,Kabiraj,name,Q82799
Q145394,Prunus × blireiana,name,Q82799
Q2271053,Senior Enlisted Advisor,name,Q82799
Q2151369,Microplane,name,Q82799
Q1077927,Gadzarts,name,Q82799
Q2667912,Khom,name,Q82799
Q4993757,CIA cryptonym,name,Q82799
Q4906580,Big Tobacco,name,Q82799
Q4780698,apostolic poverty,name,Q82799
Q113468,Pimpfe,name,Q82799
Q137427389,MacBook Air (3rd generation),name,Q82799
Q137427267,MacBook Air (2nd generation),name,Q82799
Q137427207,MacBook Air (1st generation),name,Q82799
Q135842231,Actual State Counselor,name,Q82799
Q19664688,Neftali,name,Q82799
Q11792801,noob,name,Q82799
Q11598230,tate-gyōji,name,Q82799
Q89608702,Chinese virus,name,Q82799
Q26925196,The Satyr and the Peasant,name,Q82799
Q60792396,Augustinian Calvinism,name,Q82799
