qid,label,class_label,class_qid
Q228389,Voice of America,public service,Q161837
Q48989,ZDF,public service,Q161837
Q262386,Österreichischer Rundfunk,public service,Q161837
Q55442335,European Travel Information and Authorisation System,public service,Q161837
Q860935,Japan Meteorological Agency,public service,Q161837
Q722715,RTCG,public service,Q161837
Q960061,Radiotelevizija Slovenija,public service,Q161837
Q12052688,Aadhaar,public service,Q161837
Q612637,TeleRadio-Moldova,public service,Q161837
Q366567,Radio Television of Kosovo,public service,Q161837
Q1851405,Met Office,public service,Q161837
Q697698,Technisches Hilfswerk,public service,Q161837
Q1285463,prefect,public service,Q161837
Q2166873,Royal National Lifeboat Institution,public service,Q161837
Q31837832,Entry/Exit System,public service,Q161837
Q1514290,Kosovo Protection Corps,public service,Q161837
Q1513499,Outre-Mer 1ère,public service,Q161837
Q325859,Deutscher Wetterdienst,public service,Q161837
Q4098033,Budjak Horde,public service,Q161837
Q1063933,China Meteorological Administration,public service,Q161837
Q3323383,Corporació Catalana de Mitjans Audiovisuals,public service,Q161837
Q115152481,TVMONACO,public service,Q161837
Q1794466,London Ambulance Service,public service,Q161837
Q3382119,sub-prefect,public service,Q161837
Q2029948,Federal Service for Hydrometeorology and Environmental Monitoring of Russia,public service,Q161837
Q482712,Korea Meteorological Administration,public service,Q161837
Q97379831,Diia,public service,Q161837
Q3597258,Civil Aid Service,public service,Q161837
Q119858784,028,public service,Q161837
Q4043199,Lotnicze Pogotowie Ratunkowe,public service,Q161837
Q3152508,Royal Meteorological Institute,public service,Q161837
Q3121214,National Office of Emergency of the Interior Ministry,public service,Q161837
Q2640743,Górskie Ochotnicze Pogotowie Ratunkowe,public service,Q161837
Q107707870,Gobierno Civil de Pontevedra,public service,Q161837
Q6319135,juxtaposed controls,public service,Q161837
Q4892669,Bermuda Weather Service,public service,Q161837
Q2890179,"Institute of Hydrology, Meteorology and Environmental Studies",public service,Q161837
Q2828743,Airport Core Programme,public service,Q161837
Q190033,Central Institute for Meteorology and Geodynamics / GeoSphere Austria,public service,Q161837
Q1561180,Croatian Mountain Rescue Service,public service,Q161837
Q779429,library circulation,public service,Q161837
Q4689151,Afghanistan Meteorological Authority,public service,Q161837
Q3408858,United States border preclearance,public service,Q161837
Q18418523,Uruguayan Institute of Meteorology,public service,Q161837
Q87766926,Palestinian Meteorological Department,public service,Q161837
Q65600580,First Responder Network Authority,public service,Q161837
Q59771383,Udyog Aadhar,public service,Q161837
Q5602459,Green Cross Code,public service,Q161837
Q2538208,DigiD,public service,Q161837
Q7413070,Samur,public service,Q161837
Q7281083,National Radio Television of Colombia,public service,Q161837
Q28180518,Fire and Emergency New Zealand,public service,Q161837
Q18395870,WGBH Educational Foundation,public service,Q161837
Q64869394,Radiodifusión Nacional del Uruguay,public service,Q161837
Q1335457,emergency service unit,public service,Q161837
Q5370711,Emergency medical services in Poland,public service,Q161837
Q5030518,Canadian Radio Broadcasting Commission,public service,Q161837
Q4819552,Auckland Rescue Helicopter Trust,public service,Q161837
Q7108353,Otago Rescue Helicopter Trust,public service,Q161837
Q7059516,Northland Emergency Services Trust,public service,Q161837
Q15807170,EasyPASS,public service,Q161837
Q25241012,Life Flight,public service,Q161837
Q25001404,Portland Fire & Rescue,public service,Q161837
Q61928531,Fremantle Volunteer Sea Rescue Group Inc,public service,Q161837
Q123588485,Nafath,public service,Q161837
Q5921527,Howe Bridge Mines Rescue Station,public service,Q161837
Q5157248,Compulsory public education in the United States,public service,Q161837
Q7257362,Public Education in Mississippi,public service,Q161837
Q6911361,Moremi High School,public service,Q161837
Q30687098,GOV.UK Verify,public service,Q161837
Q24887034,Bay Area Reference Center,public service,Q161837
Q85846754,National Sewerage Program,public service,Q161837
Q96419023,MyGovID,public service,Q161837
Q111169476,Fleet Weather Center San Diego,public service,Q161837
Q7813,Universal Declaration of Human Rights,public service,Q161837
Q40591,The Communist Manifesto,public service,Q161837
Q127912,United States Declaration of Independence,public service,Q161837
Q80355,First Epistle to the Corinthians,public service,Q161837
Q48203,Epistle to the Romans,public service,Q161837
Q128620,Epistle to the Galatians,public service,Q161837
Q128608,Epistle to the Hebrews,public service,Q161837
Q408673,Epistle to the Ephesians,public service,Q161837
Q123808,Second Epistle to the Corinthians,public service,Q161837
Q51613,Epistle to the Philippians,public service,Q161837
Q131097,Epistle of James,public service,Q161837
Q131104,Epistle to Philemon,public service,Q161837
Q131180,First Epistle to Timothy,public service,Q161837
Q131095,Epistle to the Colossians,public service,Q161837
Q131101,First Epistle of John,public service,Q161837
Q131466,Epistle of Jude,public service,Q161837
Q131119,First Epistle of Peter,public service,Q161837
Q131178,Second Epistle of Peter,public service,Q161837
Q131453,Second Epistle of John,public service,Q161837
Q131489,Second Epistle to Timothy,public service,Q161837
Q131493,Epistle to Titus,public service,Q161837
Q131462,Third Epistle of John,public service,Q161837
Q131107,Second Epistle to the Thessalonians,public service,Q161837
Q131115,First Epistle to the Thessalonians,public service,Q161837
Q165783,British Antarctic Territory,public service,Q161837
Q178994,Australian Antarctic Territory,public service,Q161837
Q189999,Queen Maud Land,public service,Q161837
Q223732,Declaration of the Establishment of the State of Israel,public service,Q161837
Q203073,Ross Dependency,public service,Q161837
Q646243,Argentine Antarctica (Ignálea),public service,Q161837
Q741304,J’accuse…!,public service,Q161837
Q11224,United States Coast Guard,public service,Q161837
Q11224,United States Coast Guard,public service,Q161837
Q3626,Chilean Antarctic Territory,public service,Q161837
Q328473,New York City Police Department,public service,Q161837
Q335987,Rerum Novarum,public service,Q161837
Q861510,2008 Kosovo declaration of independence,public service,Q161837
Q252609,New Swabia,public service,Q161837
Q2412892,Estonian Declaration of Independence,public service,Q161837
Q214126,Los Angeles Police Department,public service,Q161837
Q211481,Dogme 95,public service,Q161837
Q109878,October Manifesto,public service,Q161837
Q277182,Declaration of Independence of Ukraine,public service,Q161837
Q122382481,Project 2025,public service,Q161837
Q545991,artificial respiration,public service,Q161837
Q709465,Hirohito surrender broadcast,public service,Q161837
Q1139213,Metropolitan Police,public service,Q161837
Q166981,Act of Independence of Lithuania,public service,Q161837
Q331878,Russell–Einstein Manifesto,public service,Q161837
Q1321122,All India Radio,public service,Q161837
Q646350,Four Freedoms,public service,Q161837
Q162663,Mit brennender Sorge,public service,Q161837
Q20064904,Laudato si',public service,Q161837
Q1004065,Greater Bulgaria,public service,Q161837
Q581695,Declaration of Boulogne,public service,Q161837
Q598496,Declaration of Arbroath,public service,Q161837
Q367300,Magyar Televízió,public service,Q161837
Q41796018,Catalan declaration of independence,public service,Q161837
Q1816561,Palestinian Declaration of Independence,public service,Q161837
Q1983009,Futurist Manifesto,public service,Q161837
Q1994771,Finnish Declaration of Independence,public service,Q161837
Q683261,Humanae Vitae,public service,Q161837
Q1048671,Prague Manifesto,public service,Q161837
Q596381,Quadragesimo Anno,public service,Q161837
Q871256,Earth Charter,public service,Q161837
Q1661772,Proclamation of Indonesian Independence,public service,Q161837
Q2375101,Lenin's Testament,public service,Q161837
Q605550,Deus Caritas Est,public service,Q161837
Q152481,WTFPL,public service,Q161837
Q111010500,Putin's invasion of Ukraine speech,public service,Q161837
Q13582394,Lumen fidei,public service,Q161837
Q968895,Pacem in Terris,public service,Q161837
Q1094151,City of London Police,public service,Q161837
Q1235047,Pascendi Dominici gregis,public service,Q161837
Q189304,Hacker Manifesto,public service,Q161837
Q634839,Act of Abjuration,public service,Q161837
Q11275,GNU Manifesto,public service,Q161837
Q1310621,Erik the Red's Land,public service,Q161837
Q1053644,Centesimus Annus,public service,Q161837
Q1890411,Ventotene Manifesto,public service,Q161837
Q281097,Albanian Declaration of Independence,public service,Q161837
Q2291024,Surrealist Manifesto,public service,Q161837
Q16414371,Declaration of Independence of Azerbaijan,public service,Q161837
Q100152858,Great Barrington Declaration,public service,Q161837
Q6895819,Moldovan Declaration of Independence,public service,Q161837
Q2364255,SCUM Manifesto,public service,Q161837
Q69772,Philippine Declaration of Independence,public service,Q161837
Q686828,Vienna Declaration and Programme of Action,public service,Q161837
Q3042763,Universal Declaration of Linguistic Rights,public service,Q161837
Q356379,Indian Coast Guard,public service,Q161837
Q127066,Laborem Exercens,public service,Q161837
Q524753,Divini Redemptoris,public service,Q161837
Q565418,Japan Coast Guard,public service,Q161837
Q606264,Quanta cura,public service,Q161837
Q845571,Casti connubii,public service,Q161837
Q174548,Mater et Magistra,public service,Q161837
Q3111341,The Quadrature of the Parabola,public service,Q161837
Q98918602,Fratelli tutti,public service,Q161837
Q1266145,sexual orientation and gender identity at the United Nations,public service,Q161837
Q685432,Prague Declaration on European Conscience and Communism,public service,Q161837
Q708407,Brunswick Manifesto,public service,Q161837
Q708407,Brunswick Manifesto,public service,Q161837
Q549993,Berlin Declaration,public service,Q161837
Q677816,Caritas in Veritate,public service,Q161837
Q381906,Aeterni Patris,public service,Q161837
Q5401642,Estonian Sovereignty Declaration,public service,Q161837
Q2708575,Manifesto of the 343,public service,Q161837
Q741318,Spe Salvi,public service,Q161837
Q1144977,cursus publicus,public service,Q161837
Q1238432,Dominus Iesus,public service,Q161837
Q669096,Declaration of Geneva,public service,Q161837
Q1846303,The Two Thousand Words,public service,Q161837
Q2000320,Open Letter to Hobbyists,public service,Q161837
Q2916197,1988 Hamas charter,public service,Q161837
Q369960,Evangelium Vitae,public service,Q161837
Q15925292,declaration of Independence of the Republic of Crimea,public service,Q161837
Q105974394,Malé Declaration on the Human Dimension of Global Climate Change,public service,Q161837
Q58120,Dumb Ways to Die,public service,Q161837
Q2823577,Act of the Re-Establishment of the State of Lithuania,public service,Q161837
Q1247063,Redemptor Hominis,public service,Q161837
Q1312559,Tokyo Metropolitan Police Department,public service,Q161837
Q729646,Sollicitudo Rei Socialis,public service,Q161837
Q1340186,Chicago Police Department,public service,Q161837
Q1232732,Veritatis Splendor,public service,Q161837
Q1232827,Fides et Ratio,public service,Q161837
Q1235290,Humanum Genus,public service,Q161837
Q1925172,Declaration of Independence of the Democratic Republic of Vietnam,public service,Q161837
Q246741,Manifesto of the Ninety-Three,public service,Q161837
Q3491175,Martin Declaration,public service,Q161837
Q11896903,Industrial Society and Its Future,public service,Q161837
Q1196069,Declaration of Breda,public service,Q161837
Q1235053,Providentissimus Deus,public service,Q161837
Q1235060,Ut Unum Sint,public service,Q161837
Q643030,National Pact,public service,Q161837
Q781802,Dives in Misericordia,public service,Q161837
Q1244321,Mortalium Animos,public service,Q161837
Q673793,Populorum progressio,public service,Q161837
Q1628090,Bulgarian Declaration of Independence,public service,Q161837
Q1636606,Mirari Vos,public service,Q161837
Q8036137,World Scientists' Warning to Humanity,public service,Q161837
Q2835799,Grau Sea,public service,Q161837
Q12593144,Proclamation of Korean Independence,public service,Q161837
Q1320247,San Francisco Police Department,public service,Q161837
Q729202,Ecclesia de Eucharistia,public service,Q161837
Q129631,Athens Charter,public service,Q161837
Q1172005,China Coast Guard,public service,Q161837
Q743862,Redemptoris Mater,public service,Q161837
Q1235078,Redemptoris Missio,public service,Q161837
Q1552839,Corps of the Port Captaincies – Coast Guard,public service,Q161837
Q206683,Slavorum Apostoli,public service,Q161837
Q3063789,Colombian War of Independence,public service,Q161837
Q3508048,Czechoslovak declaration of independence,public service,Q161837
Q3089201,separation of Panama from Colombia,public service,Q161837
Q7321053,Rhodesia's Unilateral Declaration of Independence,public service,Q161837
Q2429474,Leuenberg Agreement,public service,Q161837
Q2735500,Hellenic Coast Guard,public service,Q161837
Q2735500,Hellenic Coast Guard,public service,Q161837
Q1246905,Humani generis,public service,Q161837
Q1246909,Vehementer Nos,public service,Q161837
Q1067752,Charter 97,public service,Q161837
Q1474813,Icelandic Coast Guard,public service,Q161837
Q1474813,Icelandic Coast Guard,public service,Q161837
Q773838,Non Abbiamo Bisogno,public service,Q161837
Q2920882,United Hatzalah,public service,Q161837
Q2025348,Sicut dudum,public service,Q161837
Q345606,Ad Beatissimi Apostolorum,public service,Q161837
Q3382350,Venezuela Declaration of Independence,public service,Q161837
Q381901,Aeterna Dei Sapientia,public service,Q161837
Q38558,Declaration of Montreal,public service,Q161837
Q29018604,Declaration on the Common Language,public service,Q161837
Q1246942,Summi Pontificatus,public service,Q161837
Q1121008,Quas primas,public service,Q161837
Q1226888,E Supremi,public service,Q161837
Q1227289,Graves de Communi Re,public service,Q161837
Q764823,Dominum et Vivificantem,public service,Q161837
Q245173,Twelve Articles,public service,Q161837
Q2088649,Fascist Manifesto,public service,Q161837
Q2094672,Qui Pluribus,public service,Q161837
Q3266836,Swedish Coast Guard,public service,Q161837
Q3266836,Swedish Coast Guard,public service,Q161837
Q3735409,Welles Declaration,public service,Q161837
Q345552,Ad Petri Cathedram,public service,Q161837
Q383520,Canadian Coast Guard,public service,Q161837
Q15651025,Guerilla Open Access Manifesto,public service,Q161837
Q59915946,Declaration on the Rights of Peasants,public service,Q161837
Q110993803,Address concerning the events in Ukraine,public service,Q161837
Q22948697,Oran fatwa,public service,Q161837
Q488480,Korea Coast Guard,public service,Q161837
Q684841,Quod Iam Diu,public service,Q161837
Q1055742,Azawadi declaration of independence,public service,Q161837
Q729168,Etsi Nos,public service,Q161837
Q1475298,Malayan Declaration of Independence,public service,Q161837
Q550587,Sacerdotalis Caelibatus,public service,Q161837
Q1186774,Texas Declaration of Independence,public service,Q161837
Q582322,Humani generis redemptionem,public service,Q161837
Q1225465,Dilectissima Nobis,public service,Q161837
Q768514,Načertanije,public service,Q161837
Q1231426,Inimica vis,public service,Q161837
Q1244349,Mystici Corporis Christi,public service,Q161837
Q1890351,Manifesto of the 121,public service,Q161837
Q1999070,Le Corbusier's Five Points of Architecture,public service,Q161837
Q345627,Ad Diem Illum,public service,Q161837
Q5545908,George Washington's Farewell Address,public service,Q161837
Q4363784,A letter to American workingmen,public service,Q161837
Q6670316,London Declaration,public service,Q161837
Q7878508,Ukrainian Sea Guard,public service,Q161837
Q21659044,Unlicense,public service,Q161837
Q22906266,Lands of the Hungarian Crown,public service,Q161837
Q28221452,Coke Fatwa,public service,Q161837
Q1131780,Declaration of Independence of the Mexican Empire,public service,Q161837
Q536746,Iniquis afflictisque,public service,Q161837
Q572492,Traditi Humilitati,public service,Q161837
Q1231127,Acerba Animi,public service,Q161837
Q763484,Mysterium fidei,public service,Q161837
Q771759,Grata Recordatio,public service,Q161837
Q1231421,Sacerdotii Nostri Primordia,public service,Q161837
Q1235037,Princeps Pastorum,public service,Q161837
Q631715,Arcanum,public service,Q161837
Q1609768,Letter from Birmingham Jail,public service,Q161837
Q667873,Ecclesiam Suam,public service,Q161837
Q947084,Windhoek Declaration,public service,Q161837
Q2896015,Coast guard of Russia,public service,Q161837
Q3248484,Argentine Declaration of Independence,public service,Q161837
Q345479,Ad Caeli Reginam,public service,Q161837
Q14748650,Basel Program,public service,Q161837
Q3889721,Prague Manifesto,public service,Q161837
Q15963807,Crimean speech of Vladimir Putin,public service,Q161837
Q16642507,Declaration of State Sovereignty of Bashkortostan,public service,Q161837
Q130633650,Dilexit nos,public service,Q161837
Q61606899,Document on Human Fraternity,public service,Q161837
Q7091483,On the Restoration of Independence of the Republic of Latvia,public service,Q161837
Q2583161,Unilateral Declaration of Egyptian Independence,public service,Q161837
Q477382,Quod Apostolici Muneris,public service,Q161837
Q478287,Amsterdam Declaration,public service,Q161837
Q489504,Quamquam Pluries,public service,Q161837
Q490551,Mirae Caritatis,public service,Q161837
Q1078619,Christi Matri,public service,Q161837
Q544516,Lausanne Covenant,public service,Q161837
Q1399398,February Manifesto,public service,Q161837
Q739261,In praeclara summorum,public service,Q161837
Q1146167,Custodi di quella fede,public service,Q161837
Q1225104,Immortale Dei,public service,Q161837
Q1225135,Ubi arcano Dei consilio,public service,Q161837
Q1225709,Paenitentiam Agere,public service,Q161837
Q752049,Miserentissimus Redemptor,public service,Q161837
Q1232625,Southern Manifesto,public service,Q161837
Q1235099,Mediator Dei,public service,Q161837
Q680064,Divinum Illud Munus,public service,Q161837
Q903036,Debian Social Contract,public service,Q161837
Q1657253,Chilean Declaration of Independence,public service,Q161837
Q936384,Mense Maio,public service,Q161837
Q2017801,Maritime Safety and Rescue Society,public service,Q161837
Q2033464,Ubi Primum,public service,Q161837
Q2066929,Boston Police Department,public service,Q161837
Q3540932,Split Agreement,public service,Q161837
Q277167,Act of restoration of the Ukrainian state,public service,Q161837
Q345448,Ad Apostolorum Principis,public service,Q161837
Q371834,Annum Sacrum,public service,Q161837
Q3900997,Demands of the Slovak Nation,public service,Q161837
Q3984104,A Cyborg Manifesto,public service,Q161837
